Stages_Data,,,,,
English,,,,,
Time,Miles,MPH,Watts,HR,RPM,Resistance,Relative Resistance,Incline
00:00,0.0000,6.56,20,0,49,2,8,0
00:01,0.0021,6.56,1,0,49,2,8,0
00:02,0.0043,6.56,1,0,49,2,8,0
00:03,0.0064,6.56,2,0,49,2,8,0
00:04,0.0085,6.56,3,0,48,2,8,0
00:05,0.0107,6.56,4,0,48,2,8,0
00:06,0.0128,6.56,4,0,48,2,8,0
00:07,0.0149,6.56,5,0,48,2,8,0
00:08,0.0162,6.42,5,0,48,2,8,0
00:09,0.0174,6.29,5,0,47,2,8,0
00:10,0.0186,6.29,5,0,48,2,8,0
00:11,0.0205,6.69,5,0,50,2,8,0
00:12,0.0211,6.69,6,0,51,2,8,0
00:13,0.0230,6.83,6,0,53,2,8,0
00:14,0.0242,7.09,6,0,55,2,8,0
00:15,0.0261,7.49,8,0,61,2,8,0
00:16,0.0280,8.16,8,0,60,2,8,0
00:17,0.0286,8.03,7,0,59,2,8,0
00:18,0.0304,7.90,6,115,52,2,8,0
00:19,0.0323,6.96,5,116,45,2,8,0
00:20,0.0342,6.02,4,117,40,2,8,0
00:21,0.0354,5.35,5,118,45,2,8,0
00:22,0.0367,6.02,5,119,49,2,8,0
00:23,0.0379,6.56,7,119,57,2,8,0
00:24,0.0391,7.62,8,120,60,2,8,0
00:25,0.0410,8.03,8,120,60,2,8,0
00:26,0.0429,8.03,8,120,60,2,8,0
00:27,0.0447,8.03,8,120,60,2,8,0
00:28,0.0466,7.90,7,119,59,2,8,0
00:29,0.0485,7.90,7,119,59,2,8,0
00:30,0.0503,7.90,8,118,60,2,8,0
00:31,0.0522,8.03,8,117,61,2,8,0
00:32,0.0541,8.16,8,116,61,2,8,0
00:33,0.0578,8.16,8,116,60,2,8,0
00:34,0.0590,8.03,7,116,59,2,8,0
00:35,0.0609,7.90,7,116,59,2,8,0
00:36,0.0628,7.90,7,116,58,2,8,0
00:37,0.0646,7.76,7,117,59,2,8,0
00:38,0.0671,8.03,8,117,60,2,8,0
00:39,0.0690,8.03,8,119,60,2,8,0
00:40,0.0708,8.03,8,119,61,2,8,0
00:41,0.0721,8.16,8,119,61,2,8,0
00:42,0.0746,8.29,8,118,63,2,8,0
00:43,0.0752,8.43,9,118,64,2,8,0
00:44,0.0777,8.57,9,117,64,2,8,0
00:45,0.0789,8.57,8,117,63,2,8,0
00:46,0.0808,8.43,8,117,62,2,8,0
00:47,0.0845,8.43,8,118,63,2,8,0
00:48,0.0857,8.43,8,118,63,2,8,0
00:49,0.0870,8.43,9,116,65,1,4,2
00:50,0.0885,8.50,10,116,66,1,4,2
00:51,0.0901,8.57,11,116,66,1,4,2
00:52,0.0920,8.57,10,114,65,1,4,2
00:53,0.0944,8.44,10,114,65,1,4,2
00:54,0.0969,8.44,10,115,63,1,4,2
00:55,0.0976,8.18,10,115,62,1,4,2
00:56,0.0988,8.05,9,116,60,1,4,2
00:57,0.1000,7.79,9,117,59,1,4,2
00:58,0.1019,7.65,9,117,59,1,4,2
00:59,0.1044,7.65,9,116,59,1,4,2
01:00,0.1063,7.65,9,116,60,1,4,2
01:01,0.1075,7.79,9,116,61,1,4,2
01:02,0.1094,7.92,9,116,61,1,4,2
01:03,0.1106,7.79,9,115,59,1,4,2
01:04,0.1137,7.65,9,114,59,1,4,2
01:05,0.1156,7.65,9,113.5,59,1,4,2
01:06,0.1174,7.65,9,113,58,1,4,2
01:07,0.1193,7.53,9,113,58,1,4,2
01:08,0.1212,7.53,9,115,58,1,4,2
01:09,0.1230,7.53,9,115,61,1,4,2
01:10,0.1243,7.92,10,115,64,1,4,2
01:11,0.1261,8.31,10,115,65,1,4,2
01:12,0.1274,8.44,20,114,66,1,4,5
01:13,0.1292,8.57,21,111,67,1,4,5
01:14,0.1317,8.70,21,110,68,1,4,5
01:15,0.1336,8.82,21,110,68,1,4,5
01:16,0.1355,8.82,22,110,70,1,4,5
01:17,0.1373,9.08,22,110,69,1,4,5
01:18,0.1398,8.95,22,110,69,1,4,5
01:19,0.1417,8.95,22,112,69,1,4,5
01:20,0.1442,8.95,22,112,69,1,4,5
01:21,0.1479,8.95,22,112,70,1,4,5
01:22,0.1498,9.08,24,111,73,1,4,5
01:23,0.1529,9.60,24,110,74,1,4,5
01:24,0.1547,9.60,24,110,74,1,4,5
01:25,0.1572,9.60,24,109,74,1,4,5
01:26,0.1597,9.73,24,110,74,1,4,5
01:27,0.1616,9.60,24,111,73,1,4,5
01:28,0.1647,9.47,24,111,73,1,4,5
01:29,0.1665,9.47,24,111,73,1,4,5
01:30,0.1696,9.47,24,112,74,1,4,5
01:31,0.1715,9.60,25,113,76,1,4,5
01:32,0.1734,9.86,25,114,76,1,4,5
01:33,0.1758,9.73,24,114,74,1,4,5
01:34,0.1783,9.60,24,115,74,1,4,5
01:35,0.1808,9.60,25,114,75,1,4,5
01:36,0.1827,9.73,25,114,75,1,4,5
01:37,0.1883,9.73,25,112,75,1,4,5
01:38,0.1901,9.73,24,111,74,1,4,5
01:39,0.1926,9.60,24,111,74,1,4,5
01:40,0.1951,9.60,24,112,74,1,4,5
01:41,0.1970,9.60,25,112,75,1,4,5
01:42,0.2001,9.73,25,112,75,1,4,5
01:43,0.2026,9.73,24,112,74,1,4,5
01:44,0.2044,9.60,24,113,74,1,4,5
01:45,0.2063,9.60,24,112,73,1,4,5
01:46,0.2106,9.47,24,113,73,1,4,5
01:47,0.2138,9.47,25,113,75,1,4,5
01:48,0.2156,9.73,25,114,76,1,4,5
01:49,0.2175,9.86,25,114,76,1,4,5
01:50,0.2200,9.86,25,114,75,1,4,5
01:51,0.2237,9.73,15,116,75,1,4,3
01:52,0.2256,9.73,15,115,75,1,4,3
01:53,0.2274,9.73,17,115,82,1,4,3
01:54,0.2299,10.64,19,116,86,1,4,3
01:55,0.2324,11.16,17,116,82,1,4,3
01:56,0.2349,10.64,16,117,79,1,4,3
01:57,0.2374,10.25,15,118,76,1,4,3
01:58,0.2392,9.86,15,118,76,1,4,3
01:59,0.2417,9.86,15,118,77,1,4,3
02:00,0.2436,9.99,15,119,77,1,4,3
02:01,0.2467,9.99,15,119,77,1,4,3
02:02,0.2492,9.99,15,120,77,1,4,3
02:03,0.2541,9.86,15,122,76,1,4,3
02:04,0.2566,9.86,15,121.5,76,1,4,3
02:05,0.2591,9.86,15,121,75,1,4,3
02:06,0.2610,9.73,14,116,74,1,4,3
