Stages_Data,,,,,
English,,,,,
Time,Miles,MPH,Watts,HR,RPM,Resistance,Relative Resistance,Incline
00:00,0.0000,11.82,62,0,69,9,38,0
00:01,0.0039,11.82,12,0,69,9,38,0
00:02,0.0079,11.82,23,0,68,9,38,0
00:03,0.0118,11.82,35,0,68,9,38,0
00:04,0.0143,11.65,34,0,67,9,38,0
00:05,0.0174,11.14,34,0,67,9,38,0
00:06,0.0199,10.96,32,0,65,9,38,0
00:07,0.0230,11.14,32,0,65,9,38,0
00:08,0.0261,11.31,33,0,66,9,38,0
00:09,0.0280,11.14,33,0,66,9,38,0
00:10,0.0311,11.48,35,0,68,9,38,0
00:11,0.0342,11.65,35,0,68,9,38,0
00:12,0.0360,11.65,35,0,68,9,38,0
00:13,0.0404,11.65,35,0,68,9,38,0
00:14,0.0429,11.65,35,0,68,9,38,0
00:15,0.0460,11.48,34,0,67,9,38,0
00:16,0.0497,11.48,36,0,69,9,38,0
00:17,0.0516,11.82,37,0,70,9,38,0
00:18,0.0547,12.33,39,106,72,9,38,0
00:19,0.0572,12.16,38,106,71,9,38,0
00:20,0.0609,11.99,37,107,70,9,38,0
00:21,0.0634,12.16,38,107,71,9,38,0
00:22,0.0665,12.16,39,106,72,9,38,0
00:23,0.0702,12.51,39,106,73,9,38,0
00:24,0.0721,12.51,40,106,74,9,38,0
00:25,0.0764,12.84,41,105,75,9,38,0
00:26,0.0789,12.84,41,104,75,9,38,0
00:27,0.0833,12.68,40,104,74,9,38,0
00:28,0.0864,12.51,40,104,74,9,38,0
00:29,0.0889,12.51,40,103,74,9,38,0
00:30,0.0932,12.68,41,103,75,9,38,0
00:31,0.0957,12.84,41,103,75,9,38,0
00:32,0.0994,13.02,76,104,76,12,50,0
00:33,0.1019,14.80,78,104,76,12,50,0
00:34,0.1069,14.60,76,104,75,12,50,0
00:35,0.1094,14.21,71,104,72,12,50,0
00:36,0.1131,14.21,72,104,73,12,50,0
00:37,0.1168,14.21,74,104,74,12,50,0
00:38,0.1218,14.40,74,104,74,12,50,0
00:39,0.1249,14.40,74,104,74,12,50,0
00:40,0.1292,14.21,72,105,73,12,50,0
00:41,0.1324,14.02,69,105,71,12,50,0
00:42,0.1367,13.82,67,106,70,12,50,0
00:43,0.1404,13.82,71,105,72,12,50,0
00:44,0.1448,14.21,74,105,74,12,50,0
00:45,0.1485,14.40,76,104,75,12,50,0
00:46,0.1510,14.60,74,104,74,12,50,0
00:47,0.1553,14.40,72,105,73,12,50,0
00:48,0.1591,14.40,74,105,74,12,50,0
00:49,0.1634,14.60,78,107,76,12,50,0
00:50,0.1665,14.80,78,107,76,12,50,0
00:51,0.1703,14.80,76,107,75,12,50,0
00:52,0.1746,14.60,76,108,75,12,50,0
00:53,0.1783,14.60,79,108,77,12,50,0
00:54,0.1814,14.99,79,110,77,12,50,0
00:55,0.1858,14.80,78,110,76,12,50,0
00:56,0.1901,14.60,78,110,76,12,50,0
00:57,0.1932,14.80,78,109,76,12,50,0
00:58,0.1964,14.80,78,108,76,12,50,0
00:59,0.2013,14.99,85,107,80,12,50,0
01:00,0.2044,16.35,94,106,85,12,50,0
01:01,0.2075,16.55,96,106,86,12,50,0
01:02,0.2131,16.75,94,107,85,12,50,0
01:03,0.2162,16.55,96,108,86,12,50,0
01:04,0.2225,16.75,96,108,86,12,50,0
01:05,0.2262,16.55,94,109,85,12,50,0
01:06,0.2299,16.55,94,109,85,12,50,0
01:07,0.2355,16.55,96,109,86,12,50,0
01:08,0.2392,16.75,100,108,88,12,50,0
01:09,0.2442,17.14,102,109,89,12,50,0
01:10,0.2479,17.32,100,109,88,12,50,0
01:11,0.2517,17.14,100,111,88,12,50,0
01:12,0.2572,17.14,100,111,88,12,50,0
01:13,0.2616,17.14,100,112,88,12,50,0
01:14,0.2672,17.14,98,112,87,12,50,0
01:15,0.2709,16.93,98,112,87,12,50,0
01:16,0.2753,16.93,98,114,87,12,50,0
01:17,0.2802,15.53,104,114,87,10,42,2
01:18,0.2833,15.71,106,114,88,10,42,2
01:19,0.2883,15.53,106,115,88,10,42,2
01:20,0.2920,15.53,106,116,88,10,42,2
01:21,0.2970,15.53,106,116,88,10,42,2
01:22,0.3007,15.35,102,117,86,10,42,2
01:23,0.3057,15.35,102,117,86,10,42,2
01:24,0.3088,15.35,104,117,87,10,42,2
01:25,0.3138,15.88,108,117,89,10,42,2
01:26,0.3169,15.88,108,117,89,10,42,2
01:27,0.3225,15.71,106,117,88,10,42,2
01:28,0.3262,15.53,104,117,87,10,42,2
01:29,0.3293,15.53,104,117,87,10,42,2
01:30,0.3343,15.71,106,117,88,10,42,2
01:31,0.3380,15.71,102,117,86,10,42,2
01:32,0.3411,15.35,102,117,86,10,42,2
01:33,0.3467,15.53,104,117,87,10,42,2
01:34,0.3498,15.35,104,117,87,10,42,2
01:35,0.3536,15.35,104,117,87,10,42,2
01:36,0.3592,15.53,104,117,87,10,42,2
01:37,0.3623,15.71,106,117,88,10,42,2
01:38,0.3666,15.88,108,118,89,10,42,2
01:39,0.3716,15.88,110,118,90,10,42,2
01:40,0.3747,16.24,112,118,91,10,42,2
01:41,0.3797,16.24,112,119,91,10,42,2
01:42,0.3834,16.24,110,119,90,10,42,2
01:43,0.3877,16.06,106,119,88,10,42,2
01:44,0.3927,15.53,104,120,87,10,42,2
01:45,0.3958,15.53,104,120,87,10,42,2
01:46,0.4008,15.35,102,120,86,10,42,2
01:47,0.4045,15.35,102,120,86,10,42,2
01:48,0.4095,15.35,102,120,86,10,42,2
01:49,0.4132,15.35,102,120,86,10,42,2
01:50,0.4176,15.35,102,121,86,10,42,2
01:51,0.4213,16.75,96,121,86,12,50,0
01:52,0.4269,16.93,102,121,89,12,50,0
01:53,0.4300,17.53,104,122,90,12,50,0
01:54,0.4337,17.53,100,122,88,12,50,0
01:55,0.4393,17.14,98,122,87,12,50,0
01:56,0.4430,17.32,104,122,90,12,50,0
01:57,0.4468,17.71,105,122,91,12,50,0
01:58,0.4524,17.71,104,122,90,12,50,0
01:59,0.4561,17.53,104,122,90,12,50,0
02:00,0.4611,17.32,102,122,89,12,50,0
02:01,0.4642,17.32,100,123,88,12,50,0
02:02,0.4704,17.14,100,123,88,12,50,0
02:03,0.4741,17.14,100,123,88,12,50,0
02:04,0.4797,17.14,100,123,88,12,50,0
02:05,0.4834,17.14,100,123,88,12,50,0
02:06,0.4878,17.14,102,123,89,12,50,0
02:07,0.4940,17.32,102,124,89,12,50,0
02:08,0.4977,17.32,104,124,90,12,50,0
02:09,0.5027,17.53,104,124,90,12,50,0
02:10,0.5083,17.53,102,124,89,12,50,0
02:11,0.5120,17.32,100,124,88,12,50,0
02:12,0.5157,17.14,100,125,88,12,50,0
02:13,0.5213,16.93,98,125,87,12,50,0
02:14,0.5244,16.93,96,125,86,12,50,0
02:15,0.5300,16.75,94,126,85,14,58,-1
02:16,0.5344,18.42,119,126,86,14,58,-1
02:17,0.5381,18.42,119,126,86,14,58,-1
02:18,0.5443,18.42,119,126,86,14,58,-1
02:19,0.5493,18.42,121,125,87,14,58,-1
02:20,0.5536,18.63,121,126,87,14,58,-1
02:21,0.5592,18.85,123,126,88,12,50,0
02:22,0.5642,17.14,100,126,88,12,50,0
02:23,0.5679,17.14,102,126,89,12,50,0
02:24,0.5729,17.32,102,126,89,12,50,0
02:25,0.5766,17.32,102,126,89,12,50,0
02:26,0.5810,17.32,102,127,89,12,50,0
02:27,0.5860,17.32,102,127,89,12,50,0
02:28,0.5897,17.32,100,127,88,12,50,0
02:29,0.5947,17.14,100,127,88,12,50,0
02:30,0.6002,17.32,102,127,89,12,50,0
02:31,0.6040,17.14,100,128,88,12,50,0
02:32,0.6077,17.14,102,128,89,12,50,0
02:33,0.6139,17.32,102,128,89,12,50,0
02:34,0.6183,17.32,100,128,88,12,50,0
02:35,0.6232,17.14,98,129,87,12,50,0
02:36,0.6270,16.93,98,129,87,12,50,0
02:37,0.6313,16.93,98,129,87,12,50,0
02:38,0.6369,16.93,98,129,87,12,50,0
02:39,0.6406,16.93,127,129,87,12,50,1
02:40,0.6450,16.93,127,130,87,12,50,1
02:41,0.6506,16.93,127,130,87,12,50,1
02:42,0.6543,16.93,129,130,88,12,50,1
02:43,0.6599,17.32,132,130,89,12,50,1
02:44,0.6624,17.14,127,130,87,12,50,1
